condition,architecture,seed,agents,tasks,margin,safe_completion_rate,raw_completion_rate,constraint_violation_rate,compromised_assignment_rate,messages_per_safe_completion,messages,contract_fields_transmitted,false_rejection_rate,strategy_entropy,unavailable_task_rate
independent_compromise_10pct,peer_reputation,5070119,500,1200,0,0.8966666666666666,0.9991666666666666,0.10258548790658882,0.004170141784820684,16.786245353159853,18062,0,0.0,0.9974652287016568,0.0
independent_compromise_10pct,constraint_contract,5070119,500,1200,0,0.94,0.96,0.020833333333333332,0.0,14.72695035460993,16612,72000,0.056084656084656084,0.9982113130882851,0.02
independent_compromise_10pct,peer_reputation,5080126,500,1200,0,0.8941666666666667,0.9991666666666666,0.10508757297748124,0.014178482068390326,16.937558247903077,18174,0,0.0,0.9970682498608153,0.0
independent_compromise_10pct,constraint_contract,5080126,500,1200,0,0.9341666666666667,0.9616666666666667,0.02859618717504333,0.0,15.016057091882248,16833,72000,0.053878034339846066,0.993364996867467,0.014166666666666666
independent_compromise_10pct,peer_reputation,5090133,500,1200,0,0.8941666666666667,0.9958333333333333,0.10209205020920502,0.005857740585774059,16.904007455731595,18138,0,0.0,0.9961455749950396,0.0
independent_compromise_10pct,constraint_contract,5090133,500,1200,0,0.9433333333333334,0.9658333333333333,0.023295944779982744,0.0,14.734982332155477,16680,72000,0.053604436229205174,0.997342518444427,0.025
independent_compromise_10pct,peer_reputation,5100140,500,1200,0,0.8766666666666667,1.0,0.12333333333333334,0.01,17.623574144486692,18540,0,0.0,0.9875257196715685,0.0
independent_compromise_10pct,constraint_contract,5100140,500,1200,0,0.9266666666666666,0.9475,0.02198768689533861,0.0,15.178956834532373,16879,72000,0.05957648546144122,0.9985304113956446,0.020833333333333332
independent_compromise_10pct,peer_reputation,5110147,500,1200,0,0.8933333333333333,0.9983333333333333,0.10517529215358931,0.0025041736227045075,16.973880597014926,18196,0,0.0,0.9788066785191627,0.0
independent_compromise_10pct,constraint_contract,5110147,500,1200,0,0.9275,0.9566666666666667,0.03048780487804878,0.0,15.078167115902964,16782,72000,0.055714071181859136,0.9749405895314277,0.018333333333333333
independent_compromise_10pct,peer_reputation,5120154,500,1200,0,0.8875,0.9991666666666666,0.11175979983319433,0.004170141784820684,17.04225352112676,18150,0,0.0,0.9961878357367784,0.0
independent_compromise_10pct,constraint_contract,5120154,500,1200,0,0.9466666666666667,0.9716666666666667,0.025728987993138937,0.0,14.657570422535212,16651,72000,0.06103856665654418,0.997947020460533,0.0125
independent_compromise_10pct,peer_reputation,5130161,500,1200,0,0.9091666666666667,1.0,0.09083333333333334,0.006666666666666667,16.106324472960587,17572,0,0.0,0.9876284356919006,0.0
independent_compromise_10pct,constraint_contract,5130161,500,1200,0,0.9416666666666667,0.9641666666666666,0.023336214347450302,0.0,14.707079646017698,16619,72000,0.061280072628234226,0.992161666872776,0.0175
independent_compromise_10pct,peer_reputation,5140168,500,1200,0,0.9041666666666667,0.9983333333333333,0.09432387312186978,0.00667779632721202,16.608294930875577,18020,0,0.0,0.9885448276929714,0.0
independent_compromise_10pct,constraint_contract,5140168,500,1200,0,0.9441666666666667,0.9683333333333334,0.02495697074010327,0.0,14.669902912621358,16621,72000,0.05462962962962963,0.9942570528668723,0.020833333333333332
independent_compromise_10pct,peer_reputation,5150175,500,1200,0,0.9066666666666666,0.9991666666666666,0.09257714762301918,0.007506255212677231,16.704044117647058,18174,0,0.0,0.9913316963875448,0.0
independent_compromise_10pct,constraint_contract,5150175,500,1200,0,0.9308333333333333,0.96,0.030381944444444444,0.0,15.102954341987466,16870,72000,0.06228121353558926,0.99420858484008,0.018333333333333333
